SLPM-65730                       1472                 1714809671          
SLPM-66750                       321                  1682746229          
SLPS-25674                       610                  1737450233          
SLUS-20946                       3449                 1730470629          
SLPS-25088                       363                  1686233132          
SLPM-65478                       558                  1676182329          
SLUS-20712                       3674                 1731744495          
SLPM-66419                       339                  1731470818          
SLPS-25559                       227                  1684801798          
SLUS-20995                       106                  1669537828          
SLUS-20552                       1130                 1710683209          
SLPS-25915                       171                  1702429607          
SLUS-20961                       11                   1730277604          
SLPM-62264                       293                  1702960131          
SLUS-21269                       4611                 1728743565          
SLUS-20950                       197                  1729418234          
SLUS-20040                       309                  1732968944          
SLUS-20228                       587                  1719457783          
SLUS-21503                       129                  1741930012          
SLPS-25495                       126                  1691494991          
20011004-175839                  342                  1683878511          
SLPS-25376                       249                  1691902819          
SLPS-25209                       321                  1692871103          
SLUS-20062                       867                  1730637556          
SLUS-20246                       113                  1728794846          
SCUS-97472                       1479                 1721890240          
SCUS-97113                       539                  1700799048          
SLUS-21423                       443                  1714783675          
SLUS-21613                       46                   1686616189          
SLPM-65200                       20                   1690903934          
SCUS-97481                       2638                 1742181579          
SLUS-21731                       391                  1714746362          
SLPS-25783                       33                   1702429590          
SLUS-20780                       209                  1698415498          
SLUS-21590                       126                  1714809707          
SLUS-21243                       3                    1699086432          
SLUS-21361                       921                  1730351920          
SLUS-20554                       21                   1699089160          
SLUS-21359                       617                  1699621345          
SLUS-21168                       199                  1741754105          
SCUS-97399                       595                  1741930414          
SLUS-20216                       111                  1722498518          
SLUS-20733                       55                   1719457596          
SLUS-21360                       47                   1701307744          
SLUS-20827                       124                  1702048264          
SLPS-25234                       147                  1702048879          
SLUS-20627                       4                    1707388194          
SLUS-20484                       54                   1741857504          
SLUS-21583                       24                   1710553252          
SCUS-97199                       630                  1710562936          
SLUS-21728                       21                   1719565445          
SLUS-20909                       54                   1719375777          
SCUS-97316                       15                   1719452718          
SLUS-20694                       9                    1719564834          
SLUS-20649                       36                   1728744255          
SCUS-97555                       59                   1730472246          
